Month,NL Light,NL Heavy,ON,MB,NWT,SK light,SK heavy,AB conv light,AB conv heavy,AB upgraded,AB non-upgraded ,BC Light,BC cond,AB cond,NS cond,SK cond
2000-01-01,153973,0,3809,10535,26238,93585,306351,520408,234957,330832,264111,39797,8993,152703,99,629
2000-02-01,141894,0,3897,10778,26403,95294,316537,526173,235972,323960,268216,40951,10040,156096,4109,629
2000-03-01,152561,0,4157,11036,26245,95756,319348,521335,236482,233012,269336,41857,9756,153090,5771,629
2000-04-01,140934,0,3992,10658,26010,93293,308565,521424,235795,307200,282741,43319,10791,147236,7013,629
2000-05-01,169386,0,4238,10456,25065,92226,314716,493623,233245,350860,285702,43025,11424,144221,6673,629
2000-06-01,141591,0,4219,10368,20763,93958,319420,505684,232103,358054,293168,42269,11249,141483,7091,629
2000-07-01,148902,0,3963,10266,24824,95296,322496,506738,233835,309369,288079,42893,11234,144626,7714,629
2000-08-01,94431,0,4104,10192,23428,94582,326443,508320,238995,338482,335837,36985,10786,144778,7578,629
2000-09-01,155360,0,4235,10502,23900,93840,327408,501456,241782,320849,317515,40454,11182,131747,7282,629
2000-10-01,153294,0,3765,11146,23986,94008,336037,507003,244899,255226,298802,43185,11252,140192,7314,629
2000-11-01,134409,0,3728,11225,24397,92611,335638,507334,242347,323395,312653,46404,11448,144489,8104,629
2000-12-01,144053,0,3578,10927,24522,92502,335230,502407,240030,327146,334220,42017,10926,132567,7555,629
2001-01-01,132454,0,3926,11106,24621,93501,333019,502088,243314,329728,307379,45884,11817,147932,7721,629
2001-02-01,146106,0,4038,11041,25593,93729,333019,496782,241820,360383,295999,46125,11804,147271,8408,629
2001-03-01,140558,0,4313,11251,24553,94450,331750,499917,242847,358732,310711,47271,11621,139978,8959,629
2001-04-01,140357,0,4020,10788,25001,89375,320769,494777,238761,301809,299860,46007,11642,130471,8418,629
2001-05-01,142463,0,4452,10613,24596,89690,326733,479587,239459,358062,317477,44851,12527,151544,9509,629
2001-06-01,138301,0,4304,10586,23682,90767,325881,478004,236916,288472,321006,43389,11091,139613,9090,629
2001-07-01,139859,0,4117,10637,24874,92149,329448,472141,240230,343961,305968,44208,10867,114921,9634,629
2001-08-01,132333,0,4890,11057,23621,93671,336784,468083,243172,351183,297649,40356,10776,119709,11332,629
2001-09-01,148220,0,4342,11430,23622,93878,339818,465760,238258,287585,292831,43988,10596,121058,10843,629
2001-10-01,177352,0,4623,11583,24992,95714,340492,469463,238850,326086,297145,44422,11052,138781,10905,629
2001-11-01,173961,0,4232,11474,26151,95257,338926,469345,238383,391680,290398,42925,10748,128270,11011,629
2001-12-01,172795,0,3994,11359,24935,96983,334927,463700,230065,434206,285136,42178,10418,115915,11785,629
2002-01-01,190929,0,4092,11159,24046,94536,327268,456112,222902,410482,278834,40534,10186,129245,10756,629
2002-02-01,264781,0,4031,11061,24285,93357,328480,458684,223221,441197,285506,42267,10536,149450,10791,629
2002-03-01,268648,0,3962,11603,24822,92221,332480,453758,223775,405404,286672,43550,10481,134338,11247,629
2002-04-01,309628,0,4246,11404,24695,88096,330368,448484,224001,422790,291316,43159,10822,132128,10577,629
2002-05-01,304247,0,4109,10908,24149,85353,330085,435396,222415,369105,292111,42310,10598,127561,9366,629
2002-06-01,307574,0,3672,10804,23666,83731,323326,433325,221590,371299,297568,42109,10532,116466,10149,629
2002-07-01,319010,0,3931,10897,23527,85740,325589,437953,221989,434124,301719,41309,9656,122976,10831,629
2002-08-01,226968,0,3583,10885,23568,86512,334062,435741,223166,480853,306854,41091,9004,117457,11025,629
2002-09-01,207577,0,4342,11296,23013,86338,331452,426595,222911,471771,313660,41921,10179,136006,10798,629
2002-10-01,334674,0,3449,11461,23251,87412,333909,428640,215476,471849,306559,43623,10884,123361,9333,629
2002-11-01,356942,0,3138,11546,22983,88891,342516,424373,222386,454269,318948,40669,10939,119632,12149,629
2002-12-01,338363,0,3339,11539,22452,90148,344192,421457,211297,483861,319576,39821,10656,135454,13084,629
2003-01-01,331218,0,3673,11274,22047,90254,325802,424135,218939,418365,328007,41864,10780,128673,10322,535
